Title,Published(Kor),Description,Link
"카카오게임즈 ‘크로노 오디세이’, 익숙한 공식을 비트는 신작",2026-05-22 11:23:38 (KST),"카카오게임즈가 글로벌 PC 및 콘솔 시장을 정조준하며 준비 중인 대형 신작 '크로노 오디세이'의 담금질이 막바지 단계에 접어들고 있다.
크로노스튜디오가 개발하고",https://www.gamevu.co.kr/news/articleView.html?idxno=58124
"이정후, 갤럭시코퍼레이션과 전속 계약…지드래곤과 한솥밥",2026-05-22 11:19:19 (KST),(서울=연합뉴스) 김동한 기자 = 한국인 빅리거 '바람의 손자' 이정후(27·샌프란시스코 자이언츠)가 갤럭시코퍼레이션과 전속 계약을 체결했다.,https://www.yna.co.kr/view/AKR20260522068100007
"스페이스X, '스타십 V3' 발사 연기…머스크 ""발사대 문제""(종합)",2026-05-22 11:17:14 (KST),일론 머스크 테슬라 최고경영자(CEO)가 이끄는 미국 우주·항공 기업 '스페이스X'의 차세대 초대형 발사체 스타십 '버전 3(V3)'의 발사가 연기됐다.,https://www.asiae.co.kr/article/2026052210253443992
코스닥 랠리 불붙인 국민성장펀드…5%대 급등·사이드카 발동,2026-05-22 11:17:13 (KST),"국내 증시가 코스닥 시장을 중심으로 차별화된 상승세를 나타내고 있다.
순환매 장세 속에서 국민성장펀드 열풍도 투자심리를 코스닥에 쏠리게 만들었다는 평가다.22일 금융시장에 따르면 코스닥 시장은 오전 10시 59분 현재 전장보다 50.74포인트(4.59%) 상승한 1,156.71포인트에 거래되고 있다.같은 시각 코스피는 29.21포인트(0.37%) 오른 7,844.80을 기록했다.이날 코스닥 시장은 개장 직후 큰 폭으로 상승했다.
오전 9시 33분경에는 매수 사이드카가 발동되면서 장중 5% 넘는 상승 폭을 기록하기도 했다.반면 코스",https://news.einfomax.co.kr/news/articleView.html?idxno=4416344
"살아나는 김하성, 안타·볼넷 멀티출루에 시즌 첫 도루",2026-05-22 11:16:00 (KST),"타격 부진으로 하루 휴식 뒤 선발 라인업에 복귀한 김하성(31·애틀랜타 브레이브스)이 멀티 출루에 성공하며 2경기 연속 안타를 이어갔다.
김하성은 22일(한국시각) 미국 플로리다주 마이애미의 론디포 파크에서 열린 2026 미국 메이저리그(MLB) 마이애미 말린스와 방문",https://www.hani.co.kr/arti/sports/baseball/1259946.html
"故 설리 친오빠, 김수현 미성년 교제 허위 이후..""기어 나오면 2차전"" 주장[스타이슈]",2026-05-22 11:12:16 (KST),"고(故) 설리의 친오빠가 배우 김수현을 다시 한번 간접적으로 언급했다.
설리의 친오빠 A씨는 22일 자신의 SNS에 ""다시 기어 나오는 순간 2차전이다.
선택은 네가 하는 거야""라는 글을 올렸다.
A씨는 주어를 언급하지 않았지만, 김수현이 출연한 드라마 '별에서 온 그대'를 언급한 것으로 보아 김수현을 겨냥한 발언이라는 해석이 나온다.",https://www.starnewskorea.com/star/2026/05/22/2026052210303779466
"메이저리거 이정후, 갤럭시코퍼레이션과 전속 계약 체결",2026-05-22 11:11:08 (KST),"MLB 샌프란시스코 자이언츠 이정후, 엔터테크 기업과 손잡고 글로벌 행보 가속화",https://alphabiz.co.kr/news/view/1065579116796859
“10분 만에 완판” 국민성장펀드 흥행…주요 증권·은행 온라인 판매 한도 소진,2026-05-22 11:07:00 (KST),"‘국민참여형 국민성장펀드’가 22일 판매를 시작하자마자 주요 증권사·은행에서 온라인 판매 물량이 잇따라 소진되는 등 높은 인기를 끌고 있다.
이억원 금융위원장도 해당 펀드에 가입했다.
미래에셋·KB·NH투자·대신증권 등 주요 증권사와 우리은행 등에서 이날 오전 판매를 시작한 국민성장펀드 온라인 판매 물량은 시작하자마자 물량이 모두 소진됐다.
KB증권 ...",https://www.khan.co.kr/article/202605221107001
"홍장원, 종합특검 출석…“계엄 옹호 메시지 전달 지시 받은 적 없다”",2026-05-22 11:05:00 (KST),"홍장원 전 국정원 1차장이 ‘계엄 정당화 메시지 전달’ 의혹과 관련해 피의자 신분으로 조사를 받기 위해 22일 권창영 특별검사팀에 출석했다.
홍 전 차장은 “12월 3일 밤에 (국민을) 걱정시켜 드릴 만한 일을 하진 않은 것 같다”며 “(대외 문건이 무엇인지) 저도 궁",https://www.hani.co.kr/arti/society/society_general/1259943.html
"스타벅스 ‘탱크데이’ 논란, 경찰 수사 스모킹건은 ‘5단계 결재라인’에 있다?",2026-05-22 11:03:00 (KST),"스타벅스 코리아가 5월18일에 진행하려던 ‘탱크데이’ 프로모션은 단순한 마케팅 실패를 넘어 한국 사회의 역린을 건드린 사건으로 기록되고 있다.
스타벅스 측은 하루에 세 번이나 고개를 숙이며 진화에 나섰지만 대중의 시선은 싸늘하다.
신세계그룹이라는 거대 유통 공룡의 철저한 검수 시스템을 자부하던 이들이 어떻게 4~5단계에 이르는 결재 라인을 거치면서도 ...",https://www.khan.co.kr/article/202605221103001
