Title,Published(Kor),Description,Link
"이준석, 특검서 9시간 40분 조사…""왜 피의자인지 몰라""",2025-12-21 21:24:00 (KST),"이 대표는 조사를 마치고 나오며 취재진에 ""윤석열 전 대통령에 대해 성실하게 진술했다""며 ""오늘 조사 내용 봤을 때 기존의 조사와 큰 차이가 없었다고 생각한다""고 말했다.
이어 ""제가 법률가는 아니어서 사실 왜...",https://n.news.naver.com/mnews/article/079/0004098019?sid=102
"“불꽃처럼, 하늘무대서도 마음껏 뛰어노시길”",2025-12-21 21:24:00 (KST),"길 이사장은 “오늘 우리는 무대에 대한 열정으로 그 누구보다 뜨거운 연기 인생을 사셨던 한 명의 배우이자 한 시대의 공연계를 이끈 위대한 예술가를 떠나보낸다”고 말했다.
이어 최정원과 배해선, 박건형 등 후배...",https://n.news.naver.com/mnews/article/032/0003416605?sid=103
오늘의 경기,2025-12-21 21:24:00 (KST),△프로농구= 정관장-삼성(19시·안양정관장아레나) △여자농구= BNK-KB(19시·부산사직실내체육관),https://www.idaegu.co.kr/news/articleView.html?idxno=533524
[미리보는 이데일리 신문]차세대 비만약 핵심기술 K바이오가 장악,2025-12-21 21:24:00 (KST),"것: -오늘 ‘美제련소 유증’ 가처분 판단 고려아연, 경영권 분쟁 ‘분수령’ △산업 -정용진, 美서 트럼프 주니어 등 잇단 회동 -기미·주름 케어 쫘~악…여기가 3060의 ‘올영’ -“워라밸 즐기며 월매출 1300만원...",https://n.news.naver.com/mnews/article/018/0006187513?sid=101
통영국제음악제 '숨은 공신' 배우 윤석화 별세,2025-12-21 21:22:00 (KST),"통영국제음악재단은 기록되지 않은 고인의 노력이 오늘날 통영국제음악제가 국내외에서 안정적인 기반을 다지는 데 중요한 역할을 한 것으로 보고 있다.
한편 정부는 한국을 대표하는 연극배우로서 오랜 기간 한국...",https://www.gnnews.co.kr/news/articleView.html?idxno=626464
"러, 美와 마이애미 회담 첫날 '건설적'…3자회담엔 ""검토도 안해""(종합)",2025-12-21 21:19:00 (KST),"드미트리예프는 전날 밤 기자들에게 ""논의가 건설적으로 진행되고 있다""며 ""이미 시작됐고 오늘도 계속되고 내일도 이어질 것""이라고 말했다.
이런 가운데 드미트리 페스코프 크렘린궁 대변인은 이날 푸틴 대통령이...",https://n.news.naver.com/mnews/article/421/0008672705?sid=104
강원 원주서 구급차·승용차 충돌‥심정지 1명,2025-12-21 21:19:00 (KST),"오늘 오후 6시 10분쯤 강원 원주시 무실동의 한 사거리에서 환자 옮기던 119구급차와 승용차가 충돌했습니다.
이 사고로 구급차로 이송 중이던 50대 환자가 심정지 상태로 병원으로 옮겨졌고, 구급차에 함께 있던 보호자...",https://n.news.naver.com/mnews/article/214/0001469505?sid=102
'극한84' 권화운 크루원과 프랑스 마라톤…OTT 웨이브,2025-12-21 21:18:00 (KST),"극한크루 4인의 도전이 본격적으로 그려지는 메독 마라톤 레이스의 전 과정은 오늘(21일) 밤 9시 10분 방송되는 MBC ‘극한84’에서 확인할 수 있다.
다시보기 및 VOD, 재방송은 OTT 서비스 웨이브에서 볼 수 있다.",https://www.bntnews.co.kr/article/view/bnt202512210086
"""오늘 밤 함께할까요""…김민철, 고요한 미소→새 드라마 설렘 예고",2025-12-21 21:18:00 (KST),"겨울밤의 차가운 공기가 스며든 회색 외벽 앞에서 김민철이 조용한 미소로 화면을 채웠다.
부드럽게 올라간 입가와 단정한 눈빛이 긴장과 설렘이 교차하는 배우의 마음을 대변하는 듯했다.
낯빛을 어둡게 감싼 조명...",https://www.topstarnews.net/news/articleView.html?idxno=15912772
"오늘의집, 종로구 북촌에서 '잠시 자리를 비운 산타의 집' 전시",2025-12-21 21:16:00 (KST),"라이프스타일 플랫폼 오늘의집은 오는 28일까지 서울 종로구 오늘의집 북촌에서 '산타의 집' 전시를 개최한다고 21일 밝혔다.
크리스마스 시즌을 맞아 열린 이번 전시에서는 '잠시 자리를 비운 산타의 집'을 콘셉트로 1층...",http://www.econonews.co.kr/news/articleView.html?idxno=419374
