Title,Published(Kor),Description,Link
Doctor Behind Award-Winning Parkinson’s Research Among Scientists Purged From NIH,2025-04-02 09:12:11 (KST),"Leading scientists at the National Institutes of Health, the US’s leading medical research agency, were swept up Tuesday in the Trump administration's latest firing blitz.",https://www.wired.com/story/doctor-breakthrough-parkinsons-research-nih-purge/
Netflix will offer more languages for subtitles and dubbing when watching on a TV,2025-04-02 21:18:49 (KST),"If you’re watching Netflix shows and movies on a TV, the streaming service will now offer many more language options for subtitles and dubbing.
Starting today, you’ll be able to “pick from the full list of available languages for any title when watching Netf…",https://www.theverge.com/news/641206/netflix-subtitles-dubbing-tv-languages
Google's plan to steal ChatGPT's market share is all about Gemini's free tier,2025-04-02 15:00:00 (KST),"Gemini 2.5 Pro experimental is becoming available to free users less than a week after it was announced.
What does that tell us about Google's AI strategy?",https://www.androidcentral.com/apps-software/ai/googles-plan-to-steal-chatgpts-market-share-is-all-about-geminis-free-tier
"Val Kilmer, 'Top Gun' and Batman star with an intense approach, dies at 65",2025-04-02 16:57:10 (KST),"Val Kilmer died from pneumonia.
He had recovered after a 2014 throat cancer diagnosis that required two tracheotomies.",https://www.npr.org/2025/04/02/nx-s1-5348829/val-kilmer-obituary-top-gun-batman
Here's an exclusive look at the pitch deck AI tax startup Incentify used to raise $9.5 million,2025-04-02 21:00:02 (KST),Enterprise startup Incentify raised a $9.5 million Series A funding round and uses AI to help companies find tax credits and incentives.,https://www.businessinsider.com/pitch-deck-ai-tax-startup-incentify-used-raise-9-5m-2025-4
China's EV battery titan is coming for Europe,2025-04-02 18:33:47 (KST),"CATL is expanding in Europe — and the recent collapse of Northvolt, the Swedish battery maker that burnt through $15 billion, could smooth its path.",https://www.businessinsider.com/china-ev-battery-titan-catl-europe-expansion-northvolt-collapse-2025-4
"I had my daughter at 19 and needed to go on welfare. Now, we run a million-dollar business together.",2025-04-02 18:32:02 (KST),"Traci Szemkus had her daughter when she was 19.
She went on welfare, including food stamps.
In 2024 her business with her daughter broke $1 million.",https://www.businessinsider.com/from-teen-mom-on-walfare-to-millionaire-2025-4
Cheating on tech interviews is soaring. Managers don't know what to do.,2025-04-02 17:09:01 (KST),A 'perfect storm' has made coding interviews a cheater's paradise,https://www.businessinsider.com/cheating-tech-interviews-soaring-managers-lost-gen-ai-chatgpt-coding-2025-4
The day a Russian missile hit a Ukrainian tech giant,2025-04-02 16:00:22 (KST),"Every entrepreneur has to overcome obstacles, but few have faced the challenges of Oleksandr Kosovan.
As the founder and CEO of Ukrainian scaleup MacPaw, Kosovan runs his business in a country under invasion.
The company has even been hit by missile barrages.…",https://thenextweb.com/news/macpaw-survives-missile-strike-to-power-ukraine-tech-legacy
A Century-Long Battle Over the Census is Brewing,2025-04-02 19:04:00 (KST),"In the 1920s, nativists lawmakers introduced “citizen-only” reapportionment bills.
Then, a bipartisan coalition emerged to fight back.",https://time.com/7265213/battle-over-the-census-brewing/
