Title,Published(Kor),Description,Link
AI Is Using Your Likes to Get Inside Your Head,2025-04-29 20:00:00 (KST),"Liking features on social media can provide troves of data about human behavior to AI models.
But as AI gets smarter, will it be able to know users’ preferences before they do?",https://www.wired.com/story/like-the-button-that-changed-the-world-book-excerpt/
CMF Phone 2 Pro review: Nothing but the best,2025-04-29 12:02:13 (KST),"The CMF Phone 2 Pro has it all — a great design, unique features, and the best software in this category.",https://www.androidcentral.com/phones/nothing-phones/cmf-phone-2-pro-review
AYANEO Pocket ACE pre-orders open ahead of next month's launch,2025-04-29 16:14:10 (KST),"AYANEO has taken the wraps off of the pricing for the Pocket ACE, its most powerful compact Android gaming handheld to date.",https://www.androidcentral.com/gaming/ayaneo-pocket-ace-pre-orders-open-ahead-of-next-months-launch
Meet the 14 officials who have shaped Donald Trump's presidency in his first 100 days,2025-04-29 17:15:01 (KST),"These 14 officials have driven Donald Trump's priorities, including federal cuts with DOGE and aggressively pursuing deportations.",https://www.businessinsider.com/trump-officials-first-100-days-doge-deportations-2025-4
The Growth of the Private-Sector Space Industry,2025-04-29 21:20:00 (KST),A conversation with space experts Matthew Weinzierl and Brendan Rosseau on the government’s role in fostering competition and innovation.,https://hbr.org/podcast/2025/04/the-growth-of-the-private-sector-space-industry
Giant radar ‘umbrella’ launches into space on mission to transform climate science,2025-04-29 18:22:42 (KST),"The European Space Agency (ESA) has blasted its Biomass satellite into space aboard a Vega-C rocket.
The launch took place at 11:15 (CEST) today from Europe’s spaceport in Kourou, French Guiana.
Now in orbit, the first-of-its-kind satellite will deploy a rad…",https://thenextweb.com/news/giant-space-umbrella-launch-biomass-esa-satellite-rocket
Tinder Swindler survivor launches identity verifier to fight scams,2025-04-29 15:23:47 (KST),"A Tinder Swindler survivor has launched a tool to fight the scams that upended her life.
Pernilla Sjöholm, who starred in Netflix’s hit documentary The Tinder Swindler, cofounded the platform — called IDfier — alongside computer scientist Suejb Memeti.
Rele…",https://thenextweb.com/news/tinder-swindler-star-launches-identity-verification-platform-idfier
"France won't hesitate to restore UN sanctions on Iran if no deal, says foreign minister",2025-04-29 16:51:38 (KST),"France will not think twice about reimposing United Nations sanctions on Iran if negotiations to reach a deal over its nuclear programme do not succeed, its ...",https://uk.news.yahoo.com/france-wont-hesitate-restore-un-075138527.html
Mark Zuckerberg says college isn’t preparing students for today’s job market—this and the debt burden will create a ‘reckoning’ for higher education,2025-04-29 20:06:40 (KST),"Mark Zuckerberg, who notoriously dropped out of Harvard, said college pay prove more beneficial from a social standpoint as opposed to career.",https://finance.yahoo.com/news/mark-zuckerberg-says-college-isn-110640683.html
Cringe Is Part of Dating. Embrace It,2025-04-29 20:00:00 (KST),"""Cringe has become a social trap that is very hard to escape,"" writes Myisha Battle.",https://time.com/7280889/embrace-cringe-dating-essay/
"Chinese Australians, Previously Scorned, Are Now Courted as Nation Nears Tight Election",2025-04-29 16:15:00 (KST),"The brazen courting of Chinese Australians ahead of Sunday’s vote is a welcome departure from the nation’s last federal election in 2022, when anti-Chinese sentiment had reached a peak.",https://time.com/7281177/australia-election-chinese-community-courted-campaigns-labor-albanese-liberal-dutton/
The 11 most important fights of Canelo Alvarez's career,2025-04-29 21:06:12 (KST),Nick Parkinson picks Canelo's most important boxing performances and shares his thoughts on each of them.,https://www.espn.com/boxing/story/_/id/44851100/ranking-11-most-important-fights-canelo-alvarez-boxing-career
AI agents for marketing — I talked to experts about the benefits,2025-04-29 20:00:00 (KST),"I love the Back to the Future series, especially Part II where we see “the future.” Of course, the most famous part of our promised 2015 was the Mattel Hoverboard.
A decade later, and I’m still waiting to glide down the sidewalk on my hoverboard.
The pattern…",https://blog.hubspot.com/marketing/ai-agents-for-marketing#article
220 lawsuits in 100 days: Trump administration faces unprecedented legal blitz,2025-04-29 19:06:31 (KST),"Since Donald Trump took office 100 days ago, the president and his administration have faced at least 220 lawsuits challenging nearly every element of his agenda.",https://abcnews.go.com/US/220-lawsuits-100-days-trump-administration-faces-unprecedented/story?id=121252266
America faces a 'woke' divide as Trump says it's history,2025-04-29 19:21:53 (KST),"In a speech to a joint session of Congress in March, President Donald Trump took direct aim at diversity, equity and inclusion policies.",https://abcnews.go.com/Politics/trumps-war-woke-sides-issue-dividing-country/story?id=121125797
The Problem of Finding a Marriageable Man,2025-04-29 19:00:00 (KST),"College graduates are marrying at high rates.
Everyone else isn’t.",https://www.theatlantic.com/podcasts/archive/2025/04/the-problem-of-finding-a-marriageable-man/682613/
iPhone 17 production on track for expected September launch,2025-04-29 21:22:23 (KST),"As we inch closer to the release of the iPhone 17 in September, Apple is ramping up its supply chain production.
According to a new report from Digitimes today, Apple and its supply chain partners recently competed the first step of its Engineering Validation…",https://9to5mac.com/2025/04/29/iphone-17-production-on-track-for-expected-september-launch/
Apple @ Work Podcast: Adaptiva expands to Mac and Linux,2025-04-29 19:00:00 (KST),"Apple @ Work is exclusively brought to you by Mosyle, the only Apple Unified Platform.
Mosyle is the only solution that integrates in a single professional-grade platform all the solutions necessary to seamlessly and automatically deploy, manage & protect App…",https://9to5mac.com/2025/04/29/adaptiva-expands-to-mac-and-linux/
"Occlude is a ""Lynchian horror"" cardgame for weird solitaire fans and the ""terminally curious""",2025-04-29 18:19:20 (KST),"A few years ago I found an old hardback tome of Solitaire rulesets on a garden wall.
It was a bright, unambiguously pleasant day and I remember thinking 'oh, that's the wotsit that inspired those regency thingamajigs'.
So I took it home and tried my hand at a…",https://www.rockpapershotgun.com/occlude-is-a-lynchian-horror-cardgame-for-weird-solitaire-fans-and-the-terminally-curious
