Title,Published(Kor),Description,Link
"낙동강생물자원관, ‘미래 대멸종 후 동물 진화’ 교류전 개최",2026-08-25 09:31:43 (KST),"[주간한국 김동용 기자] 국립낙동강생물자원관은 오는 26일부터 내년 4월 25일까지 8개월 동안 ‘미래동물: 대멸종 너머의 생명’을 주제로 교류전을 개최한다고 25일 밝혔다.국립과천과학관이 기획한 이번 전시는 낙동강생물자원관 생물누리관 테마전시실에 마련된다.
기후변화로 환경이 달라진 미래 지구를 배경으로, 대멸종 이후 새로운 환경에 적응해 살아가는 동물들의 진화를 과학적 상상력으로 풀어냈다.
관람객은 숲과 습지 등 다양한 환경에 적응한 미래 동물들을 통해 기후변화가 생태계에 미치는 영향을 직관적으로 이해할 수 있다.전시장에서는 과거",https://weekly.hankooki.com/news/articleView.html?idxno=7180456
GTA6 출시 앞두고 가짜 사이트 212개 등장…4곳 중 1곳은 사기 정황,2026-08-25 09:29:32 (KST),"올해 11월 출시 예정인 '그랜드 테프트 오토6(GTA6)'에 대한 관심이 높아지는 가운데, 게임 이용자를 노린 가짜 웹사이트와 사이버 사기 인프라가 빠르게 확산되고 있는 것으로 나타났다.
사이버보안 기업 서프샤크(Surfshark) 최근 조사에 따르면 현재까지 등록된 GTA6 관련 도메인은 210개를 넘어섰으며, 이 가운데 약 4곳 중 1곳에서 가짜 사전예약 페이지, 허위 암호화폐 투자, 악성코드 유포 등 사이버 공격과 관련된 정황이 확인됐다",https://www.etnews.com/20260825000062
"CDPR, '위쳐4' 2028년 출시 목표…신규 3부작 포문",2026-08-25 09:24:21 (KST),"CD 프로젝트 레드(CDPR)가 간판 RPG 차기작 '더 위쳐4'의 출시 시점을 오는 2028년으로 계획했다고 게임스팟이 24일(현지시간) 보도했다.보도에 따르면 현재 500명 이상의 개발진이 '더 위쳐4' 개발에 전념하고 있다.
미하우 노바코프스키 CD...",https://zdnet.co.kr/view/?no=20260825091100
"망사스타킹만 신고 女화장실 들어간 남성‥""연대 '복면남'과는 무관""",2026-08-25 09:21:33 (KST),"서울 서대문구 상가건물에서 알몸에 망사스타킹만 신은 채 여자 화장실에 들어간 남성이 경찰에 붙잡혔습니다.
서울 서대문경찰서는 성폭력처벌법 위반 혐의로 40대 남성을 입건해 조사하고...",https://imnews.imbc.com/news/2026/society/article/6847092_36918.html
외국인 '팔자'에 코스피 2%대 하락 출발…'삼전닉스'도 3~5%↓,2026-08-25 09:20:57 (KST),"국내 반도체 '투톱'이 이틀째 약세를 이어가면서 코스피가 2%대 하락 출발했다.
개장 직후 외국인 순매도가 6천억원을 넘어서면서 지수 하방 압력이 커지는 모습이다.25일 연합인포맥스 신주식종합(화면번호 3536)에 따르면 코스피는 전 거래일보다 161.03포인트(2.40%) 내린 6,535.93에 거래를 시작했다.
코스닥지수도 6.40포인트(0.79%) 내린 806.93에 출발했다.간밤 뉴욕 증시는 반도체주를 중심으로 조정을 받았다.
필라델피아 반도체 지수는 편입 종목 전체가 하락하며 2.70% 내렸다.
전날 삼성전자와 SK하이닉",https://news.einfomax.co.kr/news/articleView.html?idxno=4431605
"장동윤, 10월의 신랑 된다…5세 연하 배우 김승윤과 '백년가약'",2026-08-25 09:17:34 (KST),"배우 장동윤(34)과 김승윤(29)이 오랜 교제 끝에 오는 10월 부부의 연을 맺는다.
25일 연예계 등에 따르면 장동윤 소속사 BH엔터테인먼트는 25일 “장동윤과 김승윤이 10월 결혼한다”고 밝혔다.
두 사람은 오랜 기간 만남을 이어왔으며 결혼식은 양가 가족들만 초대",https://www.kyeonggi.com/article/20260825580040
"게임 파일을 지키던 시대는 끝났다, 엠바크가 본 변화",2026-08-25 09:15:14 (KST),"엠바크 스튜디오가 게임 파일 자체를 지키는 방식의 안티치트 전략을 접고, 플레이 기록 분석으로 무게중심을 옮겼다.
엠바크 스튜디오 톰 반 다이크(Tom van Dijck) 시니어 소프트웨어 엔지니어는 24일 독일에서 열린 게임스컴 데브에서 'Anti Cheat at Embark Studios'를 주제로 강연하며 2022년 안티치트 팀 구성 이후 3년여의 시",https://www.inven.co.kr/webzine/news/?news=319876
"송가인 ""얼굴·몸매 안되니 노래로 승부하라고"" 방송관계자 폭언 폭로(플레이리스트109)",2026-08-25 09:15:06 (KST),가수 송가인의 무명시절 설움을 고백한다.,https://www.sportschosun.com/entertainment/2026-08-25/202608250100144830009236
"현대차 노사, 성과금 400%·기본급 10만원 인상 ‘잠정합의’",2026-08-25 09:05:18 (KST),"현대자동차 노사가 올해 임금협상 잠정 합의안을 마련했다.
쟁점이던 정년연장은 관련 법이 개정되면 임금피크제 없이 시행하기로 했다.
상여금은 내년 단체교섭에서 다시 논의한다.
해고자 복직은 전향적으로 논의한다.
25일 금속노조 현대자동차지부(지부장 이종철)는 전날 울산 공장에서 진행한 밤샘 교섭 끝에 이날 새벽 잠정 합의안을 도출했다고",https://www.labortoday.co.kr/news/articleView.html?idxno=236411
"슬렙트, 롯데백화점 평촌점 팝업스토어 오픈",2026-08-25 09:04:17 (KST),"금성침대의 프리미엄 브랜드 ‘슬렙트(slept)’가 25일 롯데백화점 평촌점 6층에서 팝업스토어를 열고 운영을 시작했다.이번 팝업스토어는 슬렙트가 지향하는 프리미엄 수면 환경을 구현한 체험형 공간으로 구성됐다.
방문객은 제품을 직접 체험하고 전문 상담을 통해 자신의 수면 환경에 적합한 제품을 선택할 수 있다.오픈을 기념해 현장 프로모션도 진행된다.
상담만 받아도 머그컵을 증정하며, 제품 구매 시 최대 20% 할인 혜택이 제공된다.
구매 금액대별 추가 사은품도 마련됐다.
팝업스토어는 오는 9월 10일까지 운영된다.현장에서는 슬렙트의",https://www.gpkorea.com/news/articleView.html?idxno=145980
