Title,Published(Kor),Description,Link
"Christie Dashiell became a musician at school. Then, she became an artist",2025-01-30 19:00:00 (KST),"Reflecting on a transformative residency program, the jazz vocalist now nominated for her first Grammy Award says her album Journey in Black reflects ""the expansiveness of the Black experience.""",https://www.npr.org/2025/01/30/nx-s1-5276380/grammy-awards-christie-dashiell
Battle of the bags: How carry-on luggage became an all-out war,2025-01-30 18:07:01 (KST),"Carry-on luggage is causing big headaches for travelers, gate agents, and flight attendants.
It also helps airlines rake in big-time cash.",https://www.businessinsider.com/carry-on-bags-checked-luggage-size-charge-airlines-planes-travel-2025-1
What's the next 'Beast Games'? Streaming services and TV studios hunt for more creator-led shows,2025-01-30 18:28:01 (KST),"Agents, producers, and creator-side executives say studios and streamers have become more open to working with creators.",https://www.businessinsider.com/after-beast-games-hollywood-wants-more-creator-influencer-tv-shows-2025-1
"Lessons Learned, When Restoring An Amiga 1000",2025-01-30 18:00:15 (KST),"In the mid 1980s, there was a rash of 16-bit computers entering the market.
One of them stood head and shoulders above the rest: Commodore’s Amiga 1000.
It had everything that could reasonabl…",https://hackaday.com/2025/01/30/lessons-learned-when-restoring-an-amiga-1000/
Assetto Corsa Evo Early Access Review,2025-01-30 15:36:09 (KST),"Assetto Corsa Evo already feels absolutely outstanding and is brimming with promise, but it'd be overstating things to say its early access debut is a must-play right now.",https://www.ign.com/articles/assetto-corsa-evo-early-access-review
Interview with DeepSeek Founder: We're Done Following. It's Time to Lead,2025-01-30 20:47:27 (KST),"Silicon Valley is reeling.
However, founder Liang Wenfeng has remained low-key, with his most recent appearance being on China Central Television's Xinwen Lianbo (CCTV News).",https://thechinaacademy.org/interview-with-deepseek-founder-were-done-following-its-time-to-lead/
Marvel’s Spider-Man 2 system requirements and PC features are all things to all Spider-people,2025-01-30 20:10:15 (KST),"Mere hours before it’s January 30th release – wait, that’s today! – Sony have finally spilled the beans on system requirements for Marvel’s Spider-Man 2, as well as the eye-blistering, GPU-rending special features that more powerful rigs can support.
Happily,…",https://www.rockpapershotgun.com/marvels-spider-man-2-system-requirements-and-pc-features-are-all-things-to-all-spider-people
"Recapping RFK, Jr's First Day of Confirmation Hearings in 5 Takeaways",2025-01-30 09:00:00 (KST),"From Robert F.
Kennedy, Jr.’s views on vaccines to Medicaid, here are some ways his nomination for head of the Department of Health and Human Services could have sweeping effects on health care",https://www.scientificamerican.com/article/recapping-rfk-jrs-first-day-of-confirmation-hearings-in-5-takeaways/
Watch a Frog Walk on Water with High-Speed Belly Flops,2025-01-30 20:45:00 (KST),"Tiny frogs seem to skim the water’s surface, but high-speed video reveals their secret",https://www.scientificamerican.com/article/watch-a-frog-walk-on-water-with-high-speed-belly-flops/
Dezeen to launch Dezeen Dispatch at Stockholm Design Week,2025-01-30 19:00:52 (KST),"Dezeen will launch Dezeen Dispatch, a print publication featuring our pick of the best events, exhibitions and hotspots during next week's Stockholm Design Week.
Available to those visiting Sweden's capital city for the annual Stockholm Design Week (SDW), the…",https://www.dezeen.com/2025/01/30/dezeen-dispatch-launch-stockholm-design-week/
Chunky carabiner is actually a petite power bank for your outdoor adventures,2025-01-30 18:45:00 (KST),"Chunky carabiner is actually a petite power bank for your outdoor adventuresYou might have noticed that most gear for outdoor use, such as backpacks and vests, have plenty of hooks, latches, and straps.
These are designed...",https://www.yankodesign.com/2025/01/30/chunky-carabiner-is-actually-a-petite-power-bank-for-your-outdoor-adventures/
Game Pass carried Xbox with record revenue and huge subscriber gains last quarter,2025-01-30 11:25:00 (KST),The effect of Black Ops 6 resonates across platform services with record growth.,https://www.windowscentral.com/gaming/game-pass-carried-xbox-with-record-revenue-and-huge-subscriber-gains-last-quarter
Watch NASA astronauts Suni Williams and Butch Wilmore perform spacewalk outside the ISS today (video),2025-01-30 14:01:00 (KST),"NASA astronauts Suni Williams and Butch Wilmore are scheduled to begin U.S.
Spacewalk 92 early Jan.
30.",https://www.space.com/space-exploration/international-space-station/watch-nasa-astronauts-suni-williams-and-butch-wilmore-perform-spacewalk-outside-the-iss-today-video
Pirate IPTV: Sweden Mulls ‘Viewing Ban’ as Illegal Subscriptions Soar 25%,2025-01-30 17:30:45 (KST),"A new report from consultancy firm Mediavision provides data on IPTV piracy that the Swedish government didn't want to hear.
Between spring and fall of 2024, illegal subscriptions increased by a record 25%, with an estimated 700,000 households now regularly p…",https://torrentfreak.com/pirate-iptv-sweden-mulls-viewing-ban-as-illegal-subscriptions-soar-25-250130/
Top 2026 CFB Prospects Who Are Already Committed,2025-01-30 21:00:00 (KST),"It's early—way early.
And with the way kids these days have no idea what the word ""commitment"" means, you've got to take pledges who can't sign until December…",https://bleacherreport.com/articles/10152650-top-2026-cfb-prospects-who-are-already-committed
Jimmy Butler Trade Rumors: 3rd Heat Suspension Was a 'Needle Mover' Before Deadline,2025-01-30 12:38:14 (KST),"The Miami Heat might have had enough of Jimmy Butler.
During an appearance on The Rich Eisen Show (30-second mark), Sports Illustrated's Chris Mannix…",https://bleacherreport.com/articles/10152795-jimmy-butler-trade-rumors-3rd-heat-suspension-was-a-needle-mover-before-deadline
"‘Love, Brooklyn’ Director on Making a Script Written for White Characters About Black Culture",2025-01-30 09:15:00 (KST),"Sundance: Rachael Abigail Holder discussed the ""timeless"" quality of Brooklyn during a visit to the IndieWire Studio, presented by Dropbox.",https://www.indiewire.com/news/festivals/love-brooklyn-director-interview-andre-holland-sundance-1235089952/
