Title,Published(Kor),Description,Link
AMD takes aim at Intel with new 96-core Threadripper 9000 series CPU,2025-05-21 20:49:17 (KST),"AMD has announced its latest Zen 5-based Ryzen Threadripper 9000 Series of CPUs at Computex today.
The 9000 Series and 9000 WX-Series are built for the demanding workstation market, and the top Threadripper Pro 9995WX will ship with 96 cores and 192 threads.
…",https://www.theverge.com/news/671490/amd-threadripper-9000-series-cpus-release-date
Riverside rats 'enjoying five star all-inclusive holiday',2025-05-21 14:30:27 (KST),A pest control expert says the huge numbers of rats on the quay in Derry are enjoying near perfect conditions.,https://www.bbc.com/news/articles/c62668d03ygo
Google I/O 2025: The biggest announcements from AI to Android XR,2025-05-21 14:05:49 (KST),"Gemini packed upgrades, AI Mode magic, and the first look at Google's smart glasses.",https://www.androidcentral.com/apps-software/ai/google-i-o-2025-the-biggest-announcements-from-ai-to-android-xr
"My top 5 Google I/O demos, from Gemini robots to virtual dressing rooms",2025-05-21 18:00:00 (KST),Google talked a bunch about AI at I/O 2025 — the word was uttered 92 times — but how will it be used? These demos show off the possibilities.,https://www.androidcentral.com/apps-software/my-top-5-google-i-o-demos-from-gemini-robots-to-virtual-dressing-rooms
South Africa's president heads to the White House. Can he charm Trump?,2025-05-21 15:28:09 (KST),South African President Cyril Ramaphosa heads to the White House today for conciliatory talks with one of his country's most persistent critics: President Trump.,https://www.npr.org/2025/05/21/nx-s1-5404667/south-africa-white-house-visit-ramaphosa-trump-tensions
"South African president visits the U.S. And, GOP divided over Trump's tax bill",2025-05-21 20:17:14 (KST),"South Africa's President Cyril Ramaphosa is set to meet President Trump today in an attempt to reset relations between the two countries.
And, House Republicans are divided over Trump's massive bill.",https://www.npr.org/2025/05/21/g-s1-68200/up-first-newsletter-trump-tax-bill-cyril-ramaphosa-doge
The great battery race: China and the U.S. compete over the future of EVs,2025-05-21 18:00:00 (KST),"The car you drive years in the future might run off a battery being invented in a lab today.
Companies in China and the United States are racing to perfect and scale up next-generation technologies.",https://www.npr.org/2025/05/21/nx-s1-5388413/china-united-states-electric-vehicle-batteries
'Nihilism' is in the news. What's behind this 'nothing' philosophy?,2025-05-21 18:00:00 (KST),"The weekend bombing of a Palm Springs, Calif., fertility clinic has cast a fresh spotlight on a 19th century philosophy linked to Russian revolutionaries.
What does ""nihilism"" mean?",https://www.npr.org/2025/05/21/nx-s1-5405027/nihilism-explained-palm-springs-bomb
U.K. suspends free trade talks with Israel and announces sanctions,2025-05-21 13:59:09 (KST),"Pressure from close allies is mounting on Israel following a nearly three-month blockade of supplies into Gaza.
Even the United States has voiced concerns over the hunger crisis.",https://www.npr.org/2025/05/21/nx-s1-5406072/uk-israel-free-trade-sanctions-palestinians-west-bank
These 7 executive actions show how Trump wants to reshape American history,2025-05-21 18:00:00 (KST),"President Trump wants to reframe how the country's stories are told.
But historians are pushing back, saying the administration's actions amount to an attack on core institutions — and on history itself.",https://www.npr.org/2025/05/21/nx-s1-5389638/trump-executive-actions-american-history-culture
"Not quite the American dream: Renting is becoming a better deal, even if you're wealthy or a retiree",2025-05-21 17:07:02 (KST),"Renting is cheaper than buying in many places.
It's also more flexible.
But it's not everyone's idea of the American dream.",https://www.businessinsider.com/apartment-renters-becoming-older-millionaire-millennials-boomers-housing-prices-2025-5
AMD unveils new Threadripper CPUs and Radeon GPUs for gamers at Computex 2025,2025-05-21 12:00:00 (KST),AMD held a Computex press event to introduce its Radeon RX 9060 XT graphics cards and Threadripper CPUs for next-gen gaming and workstations.,https://venturebeat.com/games/amd-unveils-new-threadripper-cpus-and-radeon-gpus-for-gamers-at-computex-2025/
Inside the NBA's hand care obsession,2025-05-21 20:50:18 (KST),"Whether it's hand cream or powder, the on-court routines of NBA players have become a leaguewide obsession.",https://www.espn.com/nba/story/_/id/44767845/nba-players-hand-care-cream-rosin-powder
Heavy storms reach East Coast as a Nor'easter heads toward New England,2025-05-21 20:02:52 (KST),Heavy storms are now reaching the East Coast as a Nor’easter heads toward New England ahead of the holiday travel period for Memorial Day weekend.,https://abcnews.go.com/US/heavy-storms-reach-east-coast-noreaster-heads-new/story?id=122021419
Doctor details Gaza famine: 'We're not asking for miracles. We're asking for food',2025-05-21 18:10:29 (KST),"A senior Palestinian pediatric doctor described the humanitarian crisis in Gaza as ""unbelievable,"" witnessing children dying from hunger and preventable injuries.",https://abcnews.go.com/US/doctor-details-gaza-famine-miracles-food/story?id=122007605
How much does AI cost? Here are the industry averages,2025-05-21 20:00:00 (KST),"I first tested AI tools in 2019 to automate repetitive parts of my workflow.
It seemed like the perfect solution: Let the code execute the manual stuff I was too bored to do.",https://blog.hubspot.com/marketing/ai-cost#article
The Shadowy Industry That Shaped American Work,2025-05-21 21:00:00 (KST),"Direct-selling schemes are considered fringe businesses, but their values have bled into the national economy.",https://www.theatlantic.com/books/archive/2025/05/the-shadowy-industry-that-shaped-american-work/682862/
Goethe's Faustian Life,2025-05-21 13:56:44 (KST),"Goethe is, perhaps more than anybody who ever lived, the outstanding example of what it is possible to do and be with a single human life.",https://www.commonwealmagazine.org/goethe-mitchell-wilson-faust-johann-biography
Military Incremental Complex is freeware classic Dope Wars for arms dealing,2025-05-21 18:16:56 (KST),"Oh, Dope Wars '98, let me count the ways you moulded me into the man I am today, buying extra large trench coats in which to store my 100 units of acid.
Military Incremental Complex riffs off that game's unmistakably '98 interface, but instead of playing a co…",https://www.rockpapershotgun.com/military-incremental-complex-is-freeware-classic-dope-wars-for-arms-dealing
