Title,Published(Kor),Description,Link
[오늘 로또]1207회 1등 17명 중 자동 12명·수동 5명…서울 강서구 한 판...,2026-01-17 21:26:00 (KST),"당첨번호.당첨금.
17일 저녁 MBC '생방송 행복드림 로또 6/45'를 통해 진행된 제 1207회 로또 당첨번호 추첨 결과 1등은 '10, 22, 24, 27, 38, 45'번이 뽑혔다.
2등 보너스 번호는 '11'번이다.
당첨번호 6개를 모두 맞힌 1등은...",http://www.namdonews.com/news/articleView.html?idxno=845622
‘은애하는 도적님아’ 남지현-문상민 포옹 포착…영혼 체인지에 혼란,2026-01-17 21:25:00 (KST),오늘(17일) 방송될 KBS 2TV 토일 미니시리즈 ‘은애하는 도적님아’(극본 이선/ 연출 함영걸/ 제작 스튜디오드래곤) 5회에서는 영혼 체인지 사태를 바로잡기 위한 홍은조(남지현 분)와 이열(문상민 분)의 고군분투가 펼쳐진다....,https://m.entertain.naver.com/article/408/0000295075
광주·전남 곳곳 화재...4명 다쳐,2026-01-17 21:23:00 (KST),"오늘(17일) 낮 12시 50분쯤 함평군 월야면 저온 저장 창고에서 불이 나 60대 남성이 손에 가벼운 화상을 입었습니다.
어젯(16일)밤 12시쯤에는 광주시 서구 화정동의 한 아파트 7층에서 화재가 발생해 주민 50여 명이...",https://n.news.naver.com/mnews/article/660/0000101396?sid=102
이준영의 WE (18회),2026-01-17 21:20:00 (KST),"----오늘의 세계---- 오늘의 세계입니다.
알프스 산악 썰매견 조련사들이 유럽에서 가장 험난한 썰매견 경주를 위해 모였습니다.
경주는 프랑스 알프스의 광활한 지역을 가로지르는 경기인데요.
60명의 썰매견 조련사와...",https://www.obsnews.co.kr/news/articleView.html?idxno=1510844
임형도의 경제노트 (18회),2026-01-17 21:20:00 (KST),"오늘도 임형도 경희대학교 교수님과 함께 하겠습니다.
교수님 안녕하세요.
Q1.
미국 대통령과 중앙은행...
오늘 경제노트는 트럼프 미국 대통령과 파월 연준 의장의 갈등부터 다뤄보겠습니다.
교수님, 문제가 된 부분이...",https://www.obsnews.co.kr/news/articleView.html?idxno=1510845
"[人사이트] 이성훈 대표 ""무기 내려놓게 하는 평화…함께 실천을""",2026-01-17 21:18:00 (KST),"▷ 이제 구체적인 캠페인으로 이어지길 바라는 마음도 가져 보면서 국제가톨릭 평화운동 단체인 팍스크리스티코리아 이성훈 안셀모 상임대표와 이야기 나눴습니다.
오늘 말씀 잘 들었습니다.
▶ 고맙습니다.",https://news.cpbc.co.kr/article/1169936?division=NAVER
"‘언더커버 미쓰홍’ 박신혜, 스무 살 파격 변신…ITZY 유나 특약처방",2026-01-17 21:14:00 (KST),"오늘(17일) 첫 방송 예정인 tvN 새 토일드라마 ‘언더커버 미쓰홍’(연출 박선호 / 극본 문현경 / 기획 스튜디오드래곤 / 제작 셀트리온엔터테인먼트, 스튜디오드래곤)은 1990년대 세기말, 30대 엘리트 증권감독관 홍금보...",https://m.entertain.naver.com/article/408/0000295074
"알파드라이브원 상현, '힙합 막내' 비눗방울 엔딩요정 공개",2026-01-17 21:14:00 (KST),"'오늘의 엔딩 요정은 누구' 게임이 진행됐다.
문제가 등장하자 상현은 바로 ""지드래곤 선배님의 하트브레이커""라고 도전했으나 실패했다.
이어 상원이 도전하자 붐은 ""상원이 먹고있죠? 그럼 안돼""라고 말했다.
이어 도전한...",https://www.slist.kr/news/articleView.html?idxno=709810
[Opinion] 바흐를 안단테로 클릭하는 일 - 제1144회 더하우스콘서트 신년...,2026-01-17 21:12:00 (KST),"누군가는 오늘의 곡 악보를 들고 와 연주와 음표를 함께 살피느라 눈이 반짝였고, 누구는 고개를 든 채...
공연이 끝난 뒤, 하콘을 누구보다 애정하시는 대표님께 쫄랑쫄랑 다가가 오늘 무대에 관한 후기를 여쭈었는데...",https://www.artinsight.co.kr/news/view.php?no=79278
"이지훈♥아야네, 달라진 딸 행동에 난감 “18춘기 시작, 인내 엄청 늘어...",2026-01-17 21:10:00 (KST),"영상에서 딸 루희 밥을 먹이던 아야네는 “오늘도 시작된 점심 전쟁.
고기는 반 정도 먹은 것 같은데 이제 중간부터 다 뱉어버리기 시작한다.
원래 국물 좋아하는데 국물도 안 먹는 것 같고”라고 말했다.
식사 중에도 계속...",https://m.entertain.naver.com/article/609/0001082297
강릉서 아프리카돼지열병 발생‥2만여 마리 살처분,2026-01-17 21:10:00 (KST),"이곳 농장주가 어제 폐사한 돼지를 발견해 도 방역당국에 검사를 의뢰한 결과, 오늘(17일) 새벽 아프리카돼지열병 양성으로 최종 확인됐습니다.
도내에서 ASF가 발생한 건 지난 2024년 11월 이후 1년 2개월 여 만입니다....",https://www.g1tv.co.kr/news?mid=1_207_6&newsid=338530
"""추워서 더 좋다""..겨울 축제장 인파 북적",2026-01-17 21:10:00 (KST),"오늘(17일) 개막한 철원 한탄강 얼음트레킹 축제장도 관광객들이 가득합니다.
단단하게 언 한탄강 얼음 위 걸으며 고즈넉한 겨울 정취를 만끽합니다.
코스 중간에 마련된 각종 먹거리와 버스킹 공연은 특별한 추억으로...",https://www.g1tv.co.kr/news?mid=1_207_6&newsid=338527
