Title,Published(Kor),Description,Link
강추위 속 광주 임동 380여 세대 정전...긴급 복구,2026-01-01 21:26:00 (KST),"오늘(1일) 낮 1시 25분쯤 광주광역시 북구 임동에서 정전이 발생해 인근 아파트 등 380여 세대에 전력 공급이 중단돼 한전이 2시간 반 만에 복구했습니다.
한전은 전선이 강풍에 끊어진 것으로 보고 정확한 경위를...",https://n.news.naver.com/mnews/article/660/0000100305?sid=102
"2026년 새해 첫 일출‥ ""모든 소망 이뤄지길""",2026-01-01 21:24:00 (KST),"오늘은 밝게 빛나서 굉장히 기분도 좋고 긍정적인 하루가 될 수 있을 거 같아요."" 새해를 맞이하며 다짐하는 새로운 출발과 희망.
[전지완 / 중구 다운동] ""2025년 11월에 이제 아내랑 결혼하게 됐는데 이제 앞으로...",https://www.usmbc.co.kr/NewsArticle/817161
"[신년사] 고한승 바이오협회장 ""정부, 규제 개선·투자 환경 조성해야""",2026-01-01 21:24:00 (KST),"오늘(1일) 고한승 한국바이오협회장은 신년사를 통해 ""한국 바이오 기업의 존재감이 글로벌 파이프라인 시장에서 한층 분명해질 것으로 기대한다""며 이같이 말했습니다.
고 회장은 ""바이오와 인공지능(AI)의 결합 또한...",https://n.news.naver.com/mnews/article/374/0000483754?sid=101
"박신혜, 유재석도 반한 '고기 굽기' 장인…""앞자리 찜""",2026-01-01 21:22:00 (KST),"양념갈비는 잘 타는데 (신혜가 하니까 안 탄다)""라면서 ""오늘은 진짜, 가짜 찾는 것보다 너 고기 굽는 게 너무 신기하다""라고 너스레를 떨었다.
이를 들은 박신혜가 ""회사 대표님이 고깃집 가면 내 앞에 앉으신다""라며...",https://m.entertain.naver.com/article/421/0008690931
"[속보] 더불어민주당, '금품 수수 의혹' 강선우 제명 의결",2026-01-01 21:20:00 (KST),"민주당은 오늘 저녁 8시 긴급 최고위원회의에서 윤리감찰단의 조사 내용을 보고받은 뒤, 징계 안건을...
강 의원은 최고위원회의가 열리기 전인 오늘 오후 5시쯤, 당에 너무나도 많은 부담을 줬다면서 탈당을 전격...",https://n.news.naver.com/mnews/article/052/0002295007?sid=100
"박신혜, 고깃집 딸 위엄···유재석 ""고기 좀 구워줘"" 감탄('식스센스2...",2026-01-01 21:19:00 (KST),"유재석은 “오늘 진짜 가짜보다 너 고기 굽는 게 제일 신기하다”라며 놀랐고, 박신혜는 “저희 회사 대표님이 회식 가면 제 앞자리 앉으신다”라며 뿌듯해했다.
유재석은 “나는 진짜 박신혜를 오래 봐왔지만, 이렇게...",https://m.entertain.naver.com/article/109/0005455669
"[TVis] “미미 너무 귀여워” 박신혜, 의외의 팬심 고백 (식스센스)",2026-01-01 21:19:00 (KST),"너무 재미있게 봤다”며 “너무 귀엽고 사랑스럽다”고 칭찬을 아끼지 않았다.
뜻밖의 고백에 미미는 “좋아해 주셔서 감사하다”며 “오늘 촬영하면서 모자란 모습 많이 보실 것”이라고 쑥스러운 반응을 보였다.",https://m.entertain.naver.com/article/241/0003486342
"'공천 헌금 녹취' 與 강선우, 전격 탈당…긴급 최고위, 제명 조치",2026-01-01 21:19:00 (KST),"강 의원은 오늘 오전까지만 해도 ""반환 지시를 했다""며 공천 헌금 의혹을 부인했지만, 저녁 5시쯤 SNS를 통해 탈당 의사를 밝혔습니다.
강 의원은 ""이미 당과 당원 여러분께 너무도 많은 부담을 드렸다""고 사과하면서...",https://n.news.naver.com/mnews/article/448/0000580811?sid=004
"[속보] 민주당 ""강선우 제명…김병기 윤리심판원 징계 결정 요청 의결""",2026-01-01 21:18:00 (KST),"▲ 강선우 민주당은 오늘(1일) 저녁 긴급 최고위원회를 열고 탈당계를 제출한 강선우 의원을 제명하기로 의결했다고 밝혔습니다.
민주당은 또 김병기 전 원내대표에 대해서는 윤리감찰단 조사 결과를 토대로 중앙당...",https://n.news.naver.com/mnews/article/055/0001320917?sid=100
"[오늘의키워드] 이혜훈 전 의원, 보좌진 갑질 폭로",2026-01-01 21:18:00 (KST),"# 역사 속 오늘 1863년 1월 1일, 미국 에이브러햄 링컨 대통령이 미국의 노예 해방에 관련한 선언문을 발표했다.
이 선언은 미국남북전쟁 중에 발표되었고 이는 북부가 승리하는데 큰 영향을 미쳤다.
/글·그래픽=안은빈...",http://www.kwangju.co.kr/article.php?aid=1767269700793949339
