Title,Published(Kor),Description,Link
"'한끼합쇼' 김희선, 2회 연속 실패에 반성→""탁재훈 분리불안 있어"" [TV캡...",2025-08-12 21:26:00 (KST),"이에 김희선은 ""조금만 더 하고 물러나자""고 했고, 탁재훈은 ""오늘은 반드시 선물 같은 밥 한 끼를 대접하겠다""고 다짐했다.
김희선은 ""우리가 계속 단독 주택 벨을 누른 거다.
가구 수로 따지면 2~30채가 안 된다""며 ""아파트...",http://www.stoo.com/article.php?aid=102005871643
"성기헌 신부 ""모자보건법 개정안은 태아 주수에 따른 생명권 차별"" [김준...",2025-08-12 21:24:00 (KST),"▷알겠습니다.
오늘 여기까지 듣고요.
기회가 되면 또 다시 한 번 이 주제를 다뤄보도록 하겠습니다.
지금까지 가톨릭대학교 성의교정 성기헌 바오로 신부였습니다.
신부님 감사합니다.
▶고맙습니다.",https://news.cpbc.co.kr/article/1166103?division=NAVER
"국토안전관리원, 경남 지역 결식 아동에 밀키트 지원",2025-08-12 21:24:00 (KST),(사진제공 : 국토안전관리원) 국토안전관리원(원장 김일환)은 방학 기간 급식 공백으로 끼니를 제대로 챙기지 못하는 경남 지역 결식아동 60명에게 고기류 등으로 구성된 밀키트 세트를 전달했다고 오늘(12일) 밝혔다....,http://www.ikld.kr/news/articleView.html?idxno=318334
곡성서 ‘밭둑 정비’ 굴착기 넘어지며 50대 운전사 숨져,2025-08-12 21:24:00 (KST),"오늘(12일) 오후 3시 30분쯤 전남 곡성군 겸면의 한 산 비탈길에서 굴착기가 넘어졌습니다.
이 사고로 굴착기를 몰던 50대 운전사가 크게 다쳐 병원으로 옮겨졌지만 숨졌습니다.
경찰은 굴착기가 폭우로 무너진 밭둑을...",https://n.news.naver.com/mnews/article/056/0012007645?sid=102
곳곳에 강한 비..내일 오후까지 비 예보,2025-08-12 21:22:00 (KST),"부산MBC)오늘(12)하루 곳곳에 강한 비가 내렸던 부산은 남구 63mm, 사하구 67mm 등제법 많은, 일일 강수량을 기록했습니다.이번 비는 내일 오후까지 이어지겠고내일도 천둥 번개를 동반해최대 60mm의 비가 예상되고...",https://busanmbc.co.kr/01_new/new01_view.asp?idx=277413
"사상∼하단선 구간, 또 대형 땅꺼짐",2025-08-12 21:22:00 (KST),"부산MBC)◀ 앵 커 ▶사상구 새벽시장 인근에서오늘(12) 폭 3미터 크기의 땅꺼짐이 발생했습니다.
사상-하단선...
오늘(투데이:어제) 오전 11시쯤, 사상구 새벽시장 인근에서 폭 3미터 규모 땅꺼짐이 또 발생했습니다.
[트럭...",https://busanmbc.co.kr/01_new/new01_view.asp?idx=277412
국민의힘 부산 합동연설회 개최..탄핵 갈등 여전,2025-08-12 21:22:00 (KST),부산MBC)◀ 앵 커 ▶국민의힘이 오늘(12) 부산에서당 대표와 최고위원 등을 선출하기 위한부울경 합동 연설회를 열었습니다.탄핵 찬성파와 반대파로후보들간 입장이 엇갈리면서당원간 고성과 분열이 이어졌습니다.박준오...,https://busanmbc.co.kr/01_new/new01_view.asp?idx=277414
[현장취재] 타이중시 관광설명회 개최... 천메이슈 관광여유국장 “감성...,2025-08-12 21:22:00 (KST),"서미영 기자 | 대만 타이중시 관광여유국이 오늘(12일) 서울 나인트리 프리미어 로카우스 호텔에서 '대만 감성, 타이중과 만나다'를 주제로 관광설명회를 개최했다.
이날 행사에는 천메이슈(陳美秀) 타이중시정부...",http://digitalchosun.dizzo.com/site/data/html_dir/2025/08/12/2025081280238.html
경복궁에 매직으로 '트럼프' 쓴 70대 응급입원 조치,2025-08-12 21:22:00 (KST),"서울 종로경찰서는 오늘(12일) 경복궁 광화문 석축에 매직으로 '트럼프 대통령' 등의 낙서를 한 79세 김 모 씨를 응급입원 조치했다고 밝혔습니다.
응급입원은 정신질환자나 자·타해 위험이 큰 사람을 의사·경찰 동의를...",https://n.news.naver.com/mnews/article/057/0001902118?sid=102
"시민단체 ""′해운대 페스타′ 진상규명·책임자 처벌 촉구""",2025-08-12 21:22:00 (KST),"부산MBC)부산MBC가 연속 보도한 ′해운대 페스타′ 파행 운행과 관련해진상 조사와 책임자 처벌을 요구하는지역 시민단체의 성명서가 발표됐습니다.부산참여연대는 오늘(12) ""민간 사업자가 무상으로 빌린 해운대...",https://busanmbc.co.kr/01_new/new01_view.asp?idx=277403
